,Title,Published_date,Views,Likes,Comments,Month
0,Sajjan Raj Vaidya - Malaai Chaana Na [Official Release],2024-01-02,1158061,50980,1816,Jan
1,Katha: Episode 8 | Tadhiera | Sajjan Raj Vaidya X Wangden Sherpa,2023-12-16,259302,17754,459,Dec
2,AAJA MATRA | SAJJAN RAJ VAIDYA | OUT NOW,2023-12-03,13920,2661,42,Dec
3,Sajjan Raj Vaidya - Aaja Matra [Official Release],2023-12-01,1551018,70365,2202,Dec
4,Katha: Episode 7 | Jeevan | Sajjan Raj Vaidya X Dixita Karki,2023-11-27,317341,21408,624,Nov
5,The Ghumi Phiri Tour | USA | Official Trailer #theghumiphiritourusa,2023-11-20,66324,5854,250,Nov
6,‘Suna Kaanchi’ official music video is out now! Watch it on our channel #SunaKaanchi,2023-10-22,93255,8652,62,Oct
7,Sajjan Raj Vaidya - Suna Kaanchi [Official Release],2023-10-20,14585983,226176,4762,Oct
8,Sajjan Raj Vaidya - Pahaar [Official Release],2023-08-03,1143869,35535,1155,Aug
9,New Release: ‘UJELI’. #keepyourmusicclose #new #release #Nepali #newsong,2023-07-24,27875,3477,38,Jul
10,Sajjan Raj Vaidya - Ujeli [Official Release],2023-07-21,4714944,96684,2390,Jul
11,"June 26, 2023",2023-06-26,118274,13930,152,Jun
12,NIMHBT Pre-release Party!,2023-06-16,0,13,0,Jun
13,Sajjan Raj Vaidya - Nothing In My Head Besides Timi [Official Release],2023-06-16,618598,32718,1037,Jun
14,Sajjan Raj Vaidya - Baarishein [Cover],2023-06-03,1627098,44003,1671,Jun
15,Sajjan Raj Vaidya - Aayen Ma [Official Release],2023-04-13,1334975,54126,2172,Apr
16,Katha: Episode 6 | Aaundai Jaandai | Sajjan Raj Vaidya x Sarun Tamrakar x Manish Gandharva,2023-03-23,325108,23454,831,Mar
17,Sajjan Raj Vaidya - Hyatteri [Official Music Video],2023-01-01,16688573,169202,4407,Jan
18,Sajjan Raj Vaidya - Dhairya [Official Lyrical Video],2022-12-20,1714087,28362,476,Dec
19,Sajjan Raj Vaidya - Dhairya [Official Release],2022-10-21,36174938,335641,8630,Oct
20,￼Katha: Episode V - Alapatra brings us the story of the wonderfully talented @YabeshThapa .,2022-09-18,216613,19179,77,Sep
21,Katha: Episode 5 | Alapatra | Sajjan Raj Vaidya x Yabesh Thapa,2022-09-17,3506501,100749,1925,Sep
22,Sajjan Raj Vaidya - Ek Sarvanaam [Official Release],2022-02-14,8645004,149086,3957,Feb
23,Sajjan Raj Vaidya - Sasto Mutu [Official Release],2022-01-01,62794275,470609,10203,Jan
24,Sajjan Raj Vaidya - Naganya Maya [Official Release],2021-10-31,38227964,291319,7598,Oct
25,Sajjan Raj Vaidya - Parkhaai [Official Release],2021-07-09,13514896,155691,4801,Jul
26,Sajjan Raj Vaidya - Ultaa Paailaa [Official Lyrical Video Release],2021-04-10,2404746,58481,2963,Apr
27,Sajjan Raj Vaidya - Lukaamaari [Official Music Video],2021-02-26,4753978,76379,1735,Feb
28,Sajjan Raj Vaidya - Lukaamaari [Official Lyrical Video],2021-01-01,6147476,76028,2732,Jan
29,Katha: Episode 4 | Purva Jaaney Panchi | Sajjan Raj Vaidya x Joyous Gurung,2020-10-10,651182,30393,687,Oct
30,Sajjan Raj Vaidya - Phutki Jaaney Jovan  [Official Video],2020-05-15,18160456,245956,4598,May
31,Sajjan Raj Vaidya - BLYHL [Official Release],2020-03-19,1041963,31670,1245,Mar
32,Sajjan Raj Vaidya - Sukumbaasi [Official Release],2020-02-14,1358989,35290,1106,Feb
33,Sajjan Raj Vaidya - Somebody Else [Official Release],2020-01-02,1484175,58886,1926,Jan
34,Sajjan Raj Vaidya - Kuraakaani [Official Release],2019-11-11,9040456,111953,2949,Nov
35,Katha: Episode 3 | Marijau | Sajjan Raj Vaidya x Bikki Gurung,2019-05-28,3989460,75320,1771,May
36,Katha: Episode 2 | Mellow | Sajjan Raj Vaidya,2019-02-14,3092051,61585,1412,Feb
37,"Sajjan Raj Vaidya - Hataarindai, Bataasindai [Official Release]",2019-01-02,39008093,249132,6603,Jan
38,Katha: Episode 1 | Nothing In My Head Besides Timi | Sajjan Raj Vaidya,2018-08-09,869011,24630,827,Aug
39,Sajjan Raj Vaidya - Mooskaan [Official Lyrical Video],2018-04-22,38680584,200896,4459,Apr
40,Sajjan Raj Vaidya - Anountho Mutu [Official Lyrical Video],2018-02-04,6021584,58597,1787,Feb
41,Sajjan Raj Vaidya - Chitthi Bhitra [Official Release],2018-01-01,66711904,347730,8081,Jan
42,Sajjan Raj Vaidya - Mayaloo [Official Music Video],2017-08-01,5681968,59413,824,Aug
43,Sajjan Raj Vaidya - Hawaijahaj [Official Video],2016-08-02,31688098,164133,2799,Aug
